index,package,topic,level_1,level_2,.hpp,struct,msg_type,pub_count,sub_count,topic_header_flag
16,diag_diagitcnotifyjb,/Diag/DiagItcNotifyJB,diag_service_msgs,msg,diag_itc_notify,DiagItcNotify,diag_service_msgs/msg/DiagItcNotify,0,1,FALSE
17,diag_diagcalreceiver,/Diag/DiagCalReceiver,diag_service_msgs,msg,diag_cal_receiver,DiagCalReceiver,diag_service_msgs/msg/DiagCalReceiver,1,1,FALSE
18,diag_diagfisheyecalreceiver,/Diag/DiagFisheyeCalReceiver,diag_service_msgs,msg,diag_cal_receiver,DiagCalReceiver,diag_service_msgs/msg/DiagCalReceiver,1,1,FALSE
19,diag_diagcalresult,/Diag/DiagCalResult,diag_service_msgs,msg,diag_cal_result,DiagCalResult,diag_service_msgs/msg/DiagCalResult,2,1,FALSE
20,diag_diaglidarcalresult,/Diag/DiagLidarCalResult,diag_service_msgs,msg,diag_cal_result,DiagCalResult,diag_service_msgs/msg/DiagCalResult,2,1,FALSE
21,diag_diagcalsender,/Diag/DiagCalSender,diag_service_msgs,msg,diag_cal_sender,DiagCalSender,diag_service_msgs/msg/DiagCalSender,2,0,FALSE
22,diag_diagfisheyecalsender,/Diag/DiagFisheyeCalSender,diag_service_msgs,msg,diag_cal_sender,DiagCalSender,diag_service_msgs/msg/DiagCalSender,2,1,FALSE
23,diag_diagcalcommand,/Diag/DiagCalCommand,diag_service_msgs,msg,diag_cal_command,DiagCalCommand,diag_service_msgs/msg/DiagCalCommand,2,1,FALSE
24,diag_diaglidarcalcommand,/Diag/DiagLidarCalCommand,diag_service_msgs,msg,diag_cal_command,DiagCalCommand,diag_service_msgs/msg/DiagCalCommand,2,1,FALSE
25,diag_itcdatacollection,/Diag/ItcDataCollection,diag_service_msgs,msg,itc_data_collection,ItcDataCollection,diag_service_msgs/msg/ItcDataCollection,1,0,TRUE
26,diag_diaggenericcommandclient,/Diag/DiagGenericCommandClient,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,5,0,FALSE
27,diag_diaggenericcommandgateway,/Diag/DiagGenericCommandGateway,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,5,0,FALSE
28,diag_diaggenericcommandjaclient,/Diag/DiagGenericCommandJAClient,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,5,1,FALSE
29,diag_diaggenericcommandjaserver,/Diag/DiagGenericCommandJAServer,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,5,1,FALSE
30,diag_diaggenericcommandjbclient,/Diag/DiagGenericCommandJBClient,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,5,1,FALSE
31,diag_diaggenericcommandjbserver,/Diag/DiagGenericCommandJBServer,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,5,1,FALSE
32,diag_diaggenericcommandserver,/Diag/DiagGenericCommandServer,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,5,0,FALSE
33,soa_cloudmapdownloadresp,/SOA/CloudMapDownloadResp,soa_pilot_msgs,msg,cloud_map_download_resp,CloudMapDownloadResp,soa_pilot_msgs/msg/CloudMapDownloadResp,1,0,TRUE
34,pi_pd_predictiondldata,/PI/PD/PredictionDLData,prediction_msgs,msg,prediction_data,PredictionData,prediction_msgs/msg/PredictionData,3,1,TRUE
35,pi_pd_predictiondata,/PI/PD/PredictionData,prediction_msgs,msg,prediction_data,PredictionData,prediction_msgs/msg/PredictionData,3,0,TRUE
36,pk_pd_predictionparkdata,/PK/PD/PredictionParkData,prediction_msgs,msg,prediction_data,PredictionData,prediction_msgs/msg/PredictionData,3,0,TRUE
37,pi_pd_predictiondebug,/PI/PD/PredictionDebug,prediction_msgs,msg,prediction_debug_data,PredictionDebugData,prediction_msgs/msg/PredictionDebugData,1,0,TRUE
38,va_vehiclemotionipd,/VA/VehicleMotionIpd,vehicle_msgs,msg,vehicle_motion_ipd,VehicleMotionIpd,vehicle_msgs/msg/VehicleMotionIpd,1,6,TRUE
39,va_vehiclestatusipd,/VA/VehicleStatusIpd,vehicle_msgs,msg,vehicle_status_ipd,VehicleStatusIpd,vehicle_msgs/msg/VehicleStatusIpd,1,2,TRUE
40,va_hmiin_rviz,/VA/HmiIn/Rviz,vehicle_msgs,msg,vehicle_hmi,VehicleHMI,vehicle_msgs/msg/VehicleHMI,1,1,TRUE
41,va_vehiclehmi,/VA/VehicleHMI,vehicle_msgs,msg,vehicle_hmi,VehicleHMI,vehicle_msgs/msg/VehicleHMI,1,0,TRUE
42,vcimlocalreqresp,/VcimLocalReqResp,proto_gateway_msgs,msg,vcim_local_req_resp,VcimLocalReqResp,proto_gateway_msgs/msg/VcimLocalReqResp,1,0,FALSE
43,vcimlocalreqrespalgo,/VcimLocalReqRespAlgo,proto_gateway_msgs,msg,vcim_local_req_resp,VcimLocalReqResp,proto_gateway_msgs/msg/VcimLocalReqResp,1,0,FALSE
44,vcimremotereq,/VcimRemoteReq,proto_gateway_msgs,msg,vcim_remote_req,VcimRemoteReq,proto_gateway_msgs/msg/VcimRemoteReq,1,1,FALSE
45,aeb_fs_typeracamobjectvcc,/AEB/FS/TypeRaCamObjectVcc,aeb_msgs,msg,type_ra_cam_object_vcc,TypeRaCamObjectVcc,aeb_msgs/msg/TypeRaCamObjectVcc,1,0,TRUE
46,aeb_horizonlines,/AEB/HorizonLines,aeb_msgs,msg,horizon_lines,HorizonLines,aeb_msgs/msg/HorizonLines,1,0,TRUE
47,aeb_hblanes,/AEB/HbLanes,aeb_msgs,msg,hb_lanes,HbLanes,aeb_msgs/msg/HbLanes,1,0,TRUE
48,aeb_egomotioninfo,/AEB/EgoMotionInfo,aeb_msgs,msg,aeb_ego_motion_info_debug,AEBEgoMotionInfoDebug,aeb_msgs/msg/AEBEgoMotionInfoDebug,1,0,TRUE
49,aeb_horizonobstacles,/AEB/HorizonObstacles,aeb_msgs,msg,horizon_obstacles,HorizonObstacles,aeb_msgs/msg/HorizonObstacles,1,0,TRUE
50,aeb_hbobstacles,/AEB/HbObstacles,aeb_msgs,msg,hb_obstacles,HbObstacles,aeb_msgs/msg/HbObstacles,1,0,TRUE
51,aeb_aebdebug,/AEB/AEBDebug,aeb_msgs,msg,aeb_debug,AEBDebug,aeb_msgs/msg/AEBDebug,1,0,TRUE
52,aeb_aebflag,/AEB/AEBFlag,aeb_msgs,msg,aeb_flag,AEBFlag,aeb_msgs/msg/AEBFlag,1,0,TRUE
53,aeb_fctinput,/AEB/FctInput,aeb_msgs,msg,fct_input,FctInput,aeb_msgs/msg/FctInput,1,0,FALSE
54,fs_fusionaebresult,/FS/FusionAEBResult,aeb_msgs,msg,aeb_result,AEBResult,aeb_msgs/msg/AEBResult,1,0,TRUE
55,aeb_radarobjlist,/AEB/RadarObjList,aeb_msgs,msg,radar_obj_list,RadarObjList,aeb_msgs/msg/RadarObjList,1,0,TRUE
56,fl_localization,/FL/Localization,localization_msgs,msg,localization_raw,LocalizationRaw,localization_msgs/msg/LocalizationRaw,1,0,TRUE
57,fl_localizationresult,/FL/LocalizationResult,localization_msgs,msg,localization_raw,LocalizationRaw,localization_msgs/msg/LocalizationRaw,1,0,TRUE
58,sa_upcodobslist,/SA/UpcodObsList,uss_msgs,msg,upcod_obs_list,UpcodObsList,uss_msgs/msg/UpcodObsList,1,0,TRUE
59,sa_ussstatus,/SA/UssStatus,uss_msgs,msg,uss_status,UssStatus,uss_msgs/msg/UssStatus,1,0,FALSE
60,sa_upcusspas,/SA/UpcUssPas,uss_msgs,msg,upc_uss_pas,UpcUssPas,uss_msgs/msg/UpcUssPas,1,0,TRUE
61,sa_vhm,/SA/Vhm,uss_msgs,msg,vhm,Vhm,uss_msgs/msg/Vhm,1,0,TRUE
62,sa_upcussraw,/SA/UpcUssRaw,uss_msgs,msg,upc_uss_raw,UpcUssRaw,uss_msgs/msg/UpcUssRaw,1,0,TRUE
63,sa_upcparkingslots,/SA/UPCParkingSlots,uss_msgs,msg,upc_parking_slots,UPCParkingSlots,uss_msgs/msg/UPCParkingSlots,1,0,TRUE
64,pk_dr_drpaths,/PK/DR/DrPaths,parking_ego_motion_path_msgs,msg,dr_paths,DrPaths,parking_ego_motion_path_msgs/msg/DrPaths,1,0,TRUE
65,fs_ndmresult,/FS/NdmResult,ndm_msgs,msg,ndm_data,NdmData,ndm_msgs/msg/NdmData,1,0,TRUE
66,pk_slotsfusion,/PK/SlotsFusion,parking_perception_msgs,msg,slots_fusion,SlotsFusion,parking_perception_msgs/msg/SlotsFusion,1,0,TRUE
67,pk_per_visionslotdecodinglist,/PK/PER/VisionSlotDecodingList,parking_perception_msgs,msg,vision_slot_decoding_list,VisionSlotDecodingList,parking_perception_msgs/msg/VisionSlotDecodingList,1,0,TRUE
68,pk_per_fsdecodinglist,/PK/PER/FSDecodingList,parking_perception_msgs,msg,fs_decoding_list,FSDecodingList,parking_perception_msgs/msg/FSDecodingList,1,0,TRUE
69,pk_cus_hmioutputes33,/PK/CUS/HMIOutputES33,cus_app_msgs,msg,parking_hmi_output_es33,ParkingHMIOutputES33,cus_app_msgs/msg/ParkingHMIOutputES33,1,0,TRUE
70,pk_cus_diyparkingslotinfo,/PK/CUS/DIYParkingSlotInfo,cus_app_msgs,msg,diy_parking_slot_info,DIYParkingSlotInfo,cus_app_msgs/msg/DIYParkingSlotInfo,1,0,TRUE
71,pk_cus_targetslot,/PK/CUS/TargetSlot,cus_app_msgs,msg,apa_target,ApaTarget,cus_app_msgs/msg/ApaTarget,2,0,TRUE
72,pk_des_targetslot,/PK/DES/TargetSlot,cus_app_msgs,msg,apa_target,ApaTarget,cus_app_msgs/msg/ApaTarget,2,0,TRUE
73,fm_fctreq,/FM/FctReq,cus_app_msgs,msg,fct_actuation_request,FctActuationRequest,cus_app_msgs/msg/FctActuationRequest,1,6,TRUE
74,pk_cus_hmioutput,/PK/CUS/HMIOutput,cus_app_msgs,msg,parking_hmi_output,ParkingHMIOutput,cus_app_msgs/msg/ParkingHMIOutput,1,0,TRUE
75,pi_cus_hmioutputes33,/PI/CUS/HMIOutputES33,cus_app_msgs,msg,hmi_es33,HmiES33,cus_app_msgs/msg/HmiES33,1,0,TRUE
76,pp_cus_fctdebug,/PP/CUS/FctDebug,cus_app_msgs,msg,fct_debug,FctDebug,cus_app_msgs/msg/FctDebug,1,0,TRUE
77,pk_cus_intelligentswitch,/PK/CUS/IntelligentSwitch,cus_app_msgs,msg,intelligent_switch,IntelligentSwitch,cus_app_msgs/msg/IntelligentSwitch,1,7,FALSE
78,com_cus_commonhmi,/COM/CUS/CommonHMI,cus_app_msgs,msg,common_hmi,CommonHmi,cus_app_msgs/msg/CommonHmi,1,0,TRUE
79,va_backviewobstacles2ddet,/VA/BackViewObstacles2dDet,pilot_perception_msg,msg,obstacles2d_det,Obstacles2dDet,pilot_perception_msg/msg/Obstacles2dDet,2,0,TRUE
80,va_frontwideobstacles2ddet,/VA/FrontWideObstacles2dDet,pilot_perception_msg,msg,obstacles2d_det,Obstacles2dDet,pilot_perception_msg/msg/Obstacles2dDet,2,3,TRUE
81,va_bevobstaclesdet,/VA/BevObstaclesDet,pilot_perception_msg,msg,obstacles_det,ObstaclesDet,pilot_perception_msg/msg/ObstaclesDet,1,0,TRUE
82,va_frontwideobstaclesdet,/VA/FrontWideObstaclesDet,pilot_perception_msg,msg,obstacles_det,ObstaclesDet,pilot_perception_msg/msg/ObstaclesDet,1,0,TRUE
83,pi_soa_hmioutputes37,/PI/SOA/HMIOutputES37,pilot_hmi_es37_msgs,msg,hmi_es37,HmiES37,pilot_hmi_es37_msgs/msg/HmiES37,1,0,TRUE
84,pi_pl_statespacesampletrjdebug,/PI/PL/StateSpaceSampleTrjDebug,plan_sss_debug_msgs,msg,state_space_sample_trj_visualize,StateSpaceSampleTrjVisualize,plan_sss_debug_msgs/msg/StateSpaceSampleTrjVisualize,1,0,TRUE
85,lp_parkingocc,/LP/ParkingOcc,occupancy_perception_msgs,msg,parking_occ,ParkingOcc,occupancy_perception_msgs/msg/ParkingOcc,1,0,TRUE
86,lp_lidarocc,/LP/LidarOcc,lidar_perception_msgs,msg,occ_voxel_vis,OccVoxelVis,lidar_perception_msgs/msg/OccVoxelVis,1,0,TRUE
87,pi_des_sitanalysis,/PI/DES/SitAnalysis,sit_message,msg,situation_analysis,SituationAnalysis,sit_message/msg/SituationAnalysis,1,0,TRUE
88,pi_des_sittodcdata,/PI/DES/SitToDcData,sit_message,msg,sit_to_dc_data,SitToDcData,sit_message/msg/SitToDcData,1,0,TRUE
89,pi_des_sitdebugdata,/PI/DES/SitDebugData,sit_message,msg,sit_debug_data,SitDebugData,sit_message/msg/SitDebugData,1,0,TRUE
90,pi_pl_planning2cusdata,/PI/PL/Planning2CusData,plan_algo_msgs,msg,planning2_cus_data,Planning2CusData,plan_algo_msgs/msg/Planning2CusData,1,0,TRUE
91,pi_pl_planningdata,/PI/PL/PlanningData,plan_algo_msgs,msg,planning_data,PlanningData,plan_algo_msgs/msg/PlanningData,1,0,TRUE
92,safrontradarobject,/SAFrontRadarObject,sensor_abstraction_msgs,msg,radar_object_array,RadarObjectArray,sensor_abstraction_msgs/msg/RadarObjectArray,5,2,TRUE
93,sasr5frontleftcornerradarobject,/SASR5FrontLeftCornerRadarObject,sensor_abstraction_msgs,msg,radar_object_array,RadarObjectArray,sensor_abstraction_msgs/msg/RadarObjectArray,5,1,TRUE
94,sasr5frontrightcornerradarobject,/SASR5FrontRightCornerRadarObject,sensor_abstraction_msgs,msg,radar_object_array,RadarObjectArray,sensor_abstraction_msgs/msg/RadarObjectArray,5,1,TRUE
95,sasr5rearleftcornerradarobject,/SASR5RearLeftCornerRadarObject,sensor_abstraction_msgs,msg,radar_object_array,RadarObjectArray,sensor_abstraction_msgs/msg/RadarObjectArray,5,1,TRUE
96,sasr5rearrightcornerradarobject,/SASR5RearRightCornerRadarObject,sensor_abstraction_msgs,msg,radar_object_array,RadarObjectArray,sensor_abstraction_msgs/msg/RadarObjectArray,5,1,TRUE
97,safrontradarlocation,/SAFrontRadarLocation,sensor_abstraction_msgs,msg,radar_location_array,RadarLocationArray,sensor_abstraction_msgs/msg/RadarLocationArray,1,0,TRUE
98,pi_pd_envmodel4dlpred,/PI/PD/EnvModel4DLPred,em_msgs,msg,em_data4_dl_pred,EmData4DLPred,em_msgs/msg/EmData4DLPred,1,1,TRUE
99,pi_pd_envmodel,/PI/PD/EnvModel,em_msgs,msg,em_data,EmData,em_msgs/msg/EmData,2,0,TRUE
100,pk_ndmdata,/PK/NdmData,em_msgs,msg,em_data,EmData,em_msgs/msg/EmData,2,0,TRUE
101,se_trafficroadinfo,/SE/TrafficRoadInfo,em_msgs,msg,em_data,EmData,em_msgs/msg/EmData,2,0,TRUE
102,pi_pd_worldcondition,/PI/PD/WorldCondition,em_msgs,msg,world_condition,WorldCondition,em_msgs/msg/WorldCondition,1,0,TRUE
103,pp_em_emslamlocalizationicmdata,/PP/EM/EmSlamLocalizationIcmData,em_msgs,msg,em_slam_localization_icm_data,EmSlamLocalizationIcmData,em_msgs/msg/EmSlamLocalizationIcmData,1,0,TRUE
104,pi_pd_emhpc2dbg,/PI/PD/EmHpc2Dbg,em_msgs,msg,em_hpc2_dbg,EmHpc2Dbg,em_msgs/msg/EmHpc2Dbg,1,0,TRUE
105,pp_em_emslotsfusion,/PP/EM/EmSlotsFusion,em_msgs,msg,em_slots_fusion,EmSlotsFusion,em_msgs/msg/EmSlotsFusion,1,0,TRUE
106,pp_em_emslammappingicmdata,/PP/EM/EmSlamMappingIcmData,em_msgs,msg,em_slam_mapping_icm_data,EmSlamMappingIcmData,em_msgs/msg/EmSlamMappingIcmData,1,0,TRUE
107,pk_des_planrequest,/PK/DES/PlanRequest,parking_decision_msgs,msg,plan_request,PlanRequest,parking_decision_msgs/msg/PlanRequest,1,0,TRUE
108,pk_des_routslots,/PK/DES/RoutSlots,parking_decision_msgs,msg,rout_slots,RoutSlots,parking_decision_msgs/msg/RoutSlots,1,0,FALSE
109,pk_des_parkingprocess,/PK/DES/ParkingProcess,parking_decision_msgs,msg,parking_process,ParkingProcess,parking_decision_msgs/msg/ParkingProcess,1,0,TRUE
110,pk_des_parkingprocessdbg,/PK/DES/ParkingProcessDbg,parking_decision_msgs,msg,parking_process_dbg_data,ParkingProcessDbgData,parking_decision_msgs/msg/ParkingProcessDbgData,1,0,FALSE
111,pk_pl_lonplanning,/PK/PL/LonPlanning,parking_control_msgs,msg,lon_planning_out,LonPlanningOut,parking_control_msgs/msg/LonPlanningOut,2,0,TRUE
112,pk_vc_lonplanningout,/PK/VC/LonPlanningOut,parking_control_msgs,msg,lon_planning_out,LonPlanningOut,parking_control_msgs/msg/LonPlanningOut,2,0,TRUE
113,pk_pl_lonplanningdebug,/PK/PL/LonPlanningDebug,parking_control_msgs,msg,parking_lon_plan_dbg_data,ParkingLonPlanDbgData,parking_control_msgs/msg/ParkingLonPlanDbgData,2,0,TRUE
114,pk_vc_parkinglonplandbgdata,/PK/VC/ParkingLonPlanDbgData,parking_control_msgs,msg,parking_lon_plan_dbg_data,ParkingLonPlanDbgData,parking_control_msgs/msg/ParkingLonPlanDbgData,2,0,TRUE
115,pk_vc_parkingctrldebug,/PK/VC/ParkingCtrlDebug,parking_control_msgs,msg,parking_ctrl_debug,ParkingCtrlDebug,parking_control_msgs/msg/ParkingCtrlDebug,1,0,FALSE
116,pk_vc_parkingctrloutput,/PK/VC/ParkingCtrlOutput,parking_control_msgs,msg,parking_ctrl_output,ParkingCtrlOutput,parking_control_msgs/msg/ParkingCtrlOutput,1,0,TRUE
117,ota_sotaconfigdata,/OTA/SotaConfigData,ota_service_msgs,msg,sota_config_data,SotaConfigData,ota_service_msgs/msg/SotaConfigData,1,0,TRUE
118,fs_aebfusionobjdbg,/FS/AEBFusionObjDbg,fusion_1v1r_msgs,msg,aeb_fusion_dbg,AEBFusionDbg,fusion_1v1r_msgs/msg/AEBFusionDbg,1,0,TRUE
119,soa_pi_navigationinfoes37,/SOA/PI/NavigationInfoES37,navi_msgs,msg,sd_semantic_signal_es37,SdSemanticSignalES37,navi_msgs/msg/SdSemanticSignalES37,1,0,TRUE
120,soa_pi_trafficeventlist,/SOA/PI/TrafficEventList,navi_msgs,msg,traffic_event_list,TrafficEventList,navi_msgs/msg/TrafficEventList,1,0,TRUE
121,soa_pi_trafficsafelist,/SOA/PI/TrafficSafeList,navi_msgs,msg,traffic_safe_list,TrafficSafeList,navi_msgs/msg/TrafficSafeList,1,0,TRUE
122,navigationinfolinklist,/NavigationInfoLinkList,navi_msgs,msg,sd_navi_link_list,SdNaviLinkList,navi_msgs/msg/SdNaviLinkList,1,0,TRUE
123,soa_pi_turnlist,/SOA/PI/TurnList,navi_msgs,msg,turn_list,TurnList,navi_msgs/msg/TurnList,1,0,TRUE
124,navigationinfogeopointlist,/NavigationInfoGeoPointList,navi_msgs,msg,sd_navi_geo_point_list,SdNaviGeoPointList,navi_msgs/msg/SdNaviGeoPointList,1,0,TRUE
125,dm_rosbag,/DM/RosBag,deterministic_execution_msgs,msg,control_channel,ControlChannel,deterministic_execution_msgs/msg/ControlChannel,0,3,FALSE
126,pk_dr_result,/PK/DR/Result,parking_ego_motion_msgs,msg,dr_result,DrResult,parking_ego_motion_msgs/msg/DrResult,1,5,TRUE
127,pk_gt_dr_gt,/PK/GT/DR_GT,parking_ego_motion_msgs,msg,dr_result,DrResult,parking_ego_motion_msgs/msg/DrResult,1,0,TRUE
128,pk_tf_maptobase,/PK/TF/MapToBase,parking_ego_motion_msgs,msg,zone_transform_stamped,ZoneTransformStamped,parking_ego_motion_msgs/msg/ZoneTransformStamped,2,0,TRUE
129,pk_tf_odomtobase,/PK/TF/OdomToBase,parking_ego_motion_msgs,msg,zone_transform_stamped,ZoneTransformStamped,parking_ego_motion_msgs/msg/ZoneTransformStamped,2,0,TRUE
130,pk_dr_deltainfo,/PK/DR/DeltaInfo,parking_ego_motion_msgs,msg,dr_delta_info,DrDeltaInfo,parking_ego_motion_msgs/msg/DrDeltaInfo,1,0,TRUE
131,mad_onlinemapping,/MAD/OnlineMapping,mapless_mapping_msgs,msg,mapless_online_mapping_output,MaplessOnlineMappingOutput,mapless_mapping_msgs/msg/MaplessOnlineMappingOutput,0,1,TRUE
132,sensor_frontwide,/Sensor/FrontWide,sensor_center_msgs,msg,outflow_state,OutflowState,sensor_center_msgs/msg/OutflowState,0,1,TRUE
133,pdc_pdcdebuginfo,/PDC/PdcDebugInfo,mcuswc_msgs,msg,pdc_debug_info,PdcDebugInfo,mcuswc_msgs/msg/PdcDebugInfo,1,0,TRUE
134,mcu_funcstatus,/MCU/FuncStatus,mcuswc_msgs,msg,func_status,FuncStatus,mcuswc_msgs/msg/FuncStatus,1,0,TRUE
135,lp_freespaces,/LP/Freespaces,proto_horizon_msgs,msg,freespaces,Freespaces,proto_horizon_msgs/msg/Freespaces,1,0,FALSE
136,va_freespaces,/VA/Freespaces,proto_horizon_msgs,msg,freespaces,Freespaces,proto_horizon_msgs/msg/Freespaces,1,0,FALSE
137,va_pk_freespaces,/VA/PK/Freespaces,proto_horizon_msgs,msg,freespaces,Freespaces,proto_horizon_msgs/msg/Freespaces,1,0,FALSE
138,va_pk_slots,/VA/PK/Slots,proto_horizon_msgs,msg,slots,Slots,proto_horizon_msgs/msg/Slots,1,0,TRUE
139,va_slots,/VA/Slots,proto_horizon_msgs,msg,slots,Slots,proto_horizon_msgs/msg/Slots,1,0,TRUE
140,pk_per_parsing,/PK/PER/Parsing,proto_horizon_msgs,msg,parsing,Parsing,proto_horizon_msgs/msg/Parsing,1,0,TRUE
141,va_parsing,/VA/Parsing,proto_horizon_msgs,msg,parsing,Parsing,proto_horizon_msgs/msg/Parsing,1,0,TRUE
142,va_lines,/VA/Lines,proto_horizon_msgs,msg,lines,Lines,proto_horizon_msgs/msg/Lines,0,1,TRUE
143,va_lighttype,/VA/LightType,proto_horizon_msgs,msg,work_condition,WorkCondition,proto_horizon_msgs/msg/WorkCondition,0,1,TRUE
144,va_weathertype,/VA/WeatherType,proto_horizon_msgs,msg,work_condition,WorkCondition,proto_horizon_msgs/msg/WorkCondition,0,1,TRUE
145,lp_objects,/LP/Objects,proto_horizon_msgs,msg,objects,Objects,proto_horizon_msgs/msg/Objects,2,0,TRUE
146,va_fusobjects,/VA/FusObjects,proto_horizon_msgs,msg,objects,Objects,proto_horizon_msgs/msg/Objects,2,1,TRUE
147,va_objects,/VA/Objects,proto_horizon_msgs,msg,objects,Objects,proto_horizon_msgs/msg/Objects,2,0,TRUE
148,va_pk_avmlandmarking,/VA/PK/AVMLandMarking,proto_horizon_msgs,msg,objects,Objects,proto_horizon_msgs/msg/Objects,2,0,TRUE
149,va_pk_objects,/VA/PK/Objects,proto_horizon_msgs,msg,objects,Objects,proto_horizon_msgs/msg/Objects,2,0,TRUE
150,va_camerapara,/VA/CameraPara,proto_horizon_msgs,msg,camera_para,CameraPara,proto_horizon_msgs/msg/CameraPara,1,0,TRUE
151,va_fisheyecamerapara,/VA/FisheyeCameraPara,proto_horizon_msgs,msg,camera_para,CameraPara,proto_horizon_msgs/msg/CameraPara,1,1,TRUE
152,lp_obstacles,/LP/Obstacles,proto_horizon_msgs,msg,obstacles,Obstacles,proto_horizon_msgs/msg/Obstacles,2,0,TRUE
153,va_frontviewobstacles,/VA/FrontViewObstacles,proto_horizon_msgs,msg,obstacles,Obstacles,proto_horizon_msgs/msg/Obstacles,2,0,TRUE
154,va_obstacles,/VA/Obstacles,proto_horizon_msgs,msg,obstacles,Obstacles,proto_horizon_msgs/msg/Obstacles,2,3,TRUE
155,va_pk_obstacles,/VA/PK/Obstacles,proto_horizon_msgs,msg,obstacles,Obstacles,proto_horizon_msgs/msg/Obstacles,2,0,TRUE
156,va_pedresult,/VA/PedResult,proto_horizon_msgs,msg,obstacles,Obstacles,proto_horizon_msgs/msg/Obstacles,2,0,TRUE
157,va_vehicleresult,/VA/VehicleResult,proto_horizon_msgs,msg,obstacles,Obstacles,proto_horizon_msgs/msg/Obstacles,2,0,TRUE
158,va_ihbc,/VA/IHBC,proto_horizon_msgs,msg,ihbc,IHBC,proto_horizon_msgs/msg/IHBC,0,1,TRUE
